comment,context
노르웨인지 네덜란드인지 에서 돌아왔누 활동력 좋네,"['전장연 앞 가로막은 경찰', '박경석 전장연 대표가 13일 오전 서울역에서 추석 귀성인사를 온 한동훈 국민의힘 대표와 면담을 요구하며 포체투지를 하고 있다. 전장연은 장애인권리 입법을 촉구하기 위해 한동훈 대표와 면담을 요구했으나 만나지는 못했다. 이 사람들 파리에 있던거 아니였음??? 존나 날아왔나?? 언제 또 서울역에 침투하셨대 ㄷㄷㄷ 저런 새끼들 때문에 다른 장애인들이 피해보는거라고 난 생각함..', '발로 차면 처벌받겠지? 상상만 해도 쾌감 지릴거같네']"
"부동산과 방문 생활보조인 지원사업을 자기들이 먹겠다는 건데, 이거 매년 세금으로 눈먼돈이라고 조단위 투입되는거임. 정작 중증장애인들은 보호시설에 24시간 있어야 본인이나 가족들이 도움되는거라서 탈시설이 좋은것도 아님. 순수하게 지들 사업을 위한 시위. 나라 경제가 박살난 시점에서 전국민 피 빨겠다는건데, 90조써서 태양광했다가 산림 다 망가트리고 분리수거도 안되는 태양광패널 쓰레기산 만든거는 그때 한번 해먹었다쳐도 ""복지""관련은 한번 시작되면 절대로 돌릴 수가 없는거라서 이건 진짜 수습이 안됨. 근데, 시위는 왠 이동권을 슬로건으로 하는 지... 양심이 없음. + 주장하는 연간 예산이 조단위임.","['전장연 앞 가로막은 경찰', '박경석 전장연 대표가 13일 오전 서울역에서 추석 귀성인사를 온 한동훈 국민의힘 대표와 면담을 요구하며 포체투지를 하고 있다. 전장연은 장애인권리 입법을 촉구하기 위해 한동훈 대표와 면담을 요구했으나 만나지는 못했다. 이 사람들 파리에 있던거 아니였음??? 존나 날아왔나?? 언제 또 서울역에 침투하셨대 ㄷㄷㄷ 저런 새끼들 때문에 다른 장애인들이 피해보는거라고 난 생각함..', '이동 겁나 잘하는데 저렇게 시위할때만 기어감 ㅋㅋㅋㅋㅋ 재네 방패뚫기용 전동휠체어 용접해놓은거 보면 말이 안나온다니깐. 인권단체가 아니라 걍 시위로 먹고 사는 꾼들임.']"
쟤넨 그냥 프랑스가서 시위 했다는 팩트자체만 있으면 되는거라 저기서 어떤 대우 받든 상관없을걸 나중에 한국와서 존나 포장하겠지,"['결국 프랑스 경찰에 붙잡힌 전장연', '결국 프랑스 경찰에 붙잡혀서 화장실도 안보내준다고 프랑스인 앞에서 한국어로 고발한다고 당당히 영상을 촬영하는 전장연 대표 분명 이유가 있을것같은데 추측해보자면 1.페럴림픽 경기장으로 향하는걸 올림픽 봉사 단체가 발견하고 신고하여 경찰이 출동했다 2.걍 무대뽀로 다리에서 시위하다가 프랑스 집시법에 위배되어서 경찰이 대거 출동했다. 아무래도 프랑스가 시위가 많다보니.. 아무튼.....유머는 유머...이러다 진짜 이동권 보장하라면서 전세계 돌아다니며 다른나라 이동권도 훈수두겠네....', '프랑스는 시위 다 신고하고 하지않나?']"
빠니보틀 긴장해라 노르웨이 지하철에서 기어봤습니다. 루브르박물관에서 드러누워서 잔썰.이동중에 프랑스경찰관이 왔습니다 컨텐츠 괴물이다,"['결국 프랑스 경찰에 붙잡힌 전장연', '결국 프랑스 경찰에 붙잡혀서 화장실도 안보내준다고 프랑스인 앞에서 한국어로 고발한다고 당당히 영상을 촬영하는 전장연 대표 분명 이유가 있을것같은데 추측해보자면 1.페럴림픽 경기장으로 향하는걸 올림픽 봉사 단체가 발견하고 신고하여 경찰이 출동했다 2.걍 무대뽀로 다리에서 시위하다가 프랑스 집시법에 위배되어서 경찰이 대거 출동했다. 아무래도 프랑스가 시위가 많다보니.. 아무튼.....유머는 유머...이러다 진짜 이동권 보장하라면서 전세계 돌아다니며 다른나라 이동권도 훈수두겠네....', '이동권이래서 들여다보면 결국 장애인들 전부 탈시설 시키라는게 핵심이더만... 탈시설 시키면 도우미 파견해서 수수료 먹고... 아예 중증장애인을 위한 시설을 없애는게 목적이더만.. 이동권은 개뿔...']"
대단하다 여러의미로,"['결국 프랑스 경찰에 붙잡힌 전장연', '결국 프랑스 경찰에 붙잡혀서 화장실도 안보내준다고 프랑스인 앞에서 한국어로 고발한다고 당당히 영상을 촬영하는 전장연 대표 분명 이유가 있을것같은데 추측해보자면 1.페럴림픽 경기장으로 향하는걸 올림픽 봉사 단체가 발견하고 신고하여 경찰이 출동했다 2.걍 무대뽀로 다리에서 시위하다가 프랑스 집시법에 위배되어서 경찰이 대거 출동했다. 아무래도 프랑스가 시위가 많다보니.. 아무튼.....유머는 유머...이러다 진짜 이동권 보장하라면서 전세계 돌아다니며 다른나라 이동권도 훈수두겠네....', '에휴.....']"
시발 나 직장다니고 해외여행은 베트남 동남아 한번인데 쟤들은 유럽에 루브르까지가네,"['전장연이 루브르박물관 고립된 과정', '들어가서 본격적으로 시위를 위한 셋업 뒤에 아 저거 유명한 그림인데 댓글로 알려주시면 감사 아무튼 부랴부랴 체인도 감고...                 박물관 직원과 관계자들이 오더니 뒤로 가라고 질서 통제 시작                 지나가는 사람도 가까이 못가게 통제 강도 올리기 시작                 전장연을 촬영해야하는 카메라맨도 제지당함 ㅋㅋㅋ 이거 한국이였으면 100% 어딜만지냐 하며 했겠지만 저긴 프랑스 ㅋㅋㅋ                 촬영해야하는데 발동동 굴리던 카메라맨 관계자가 찍지말라며 카메라 제지하다 드랍하니 드디어 돈터치! 결국 구역 통제 ㅋㅋㅋㅋㅋ -나름 특사단(?)을 자처하며 간 프랑스 -가서 홍보를 해야하는데 루브르박물관 통제로 아무것도 못하게된 전장연 -괜히 저기서 날뛰었다간 프랑스 법으로 레볼루숑! 당할수있으니 아무것도 반응 못하는 전장연', '시위를 빙자한 유럽여행 아니냐 ㅋㅋ 캬 부럽다']"
나도 프랑스는 못가봤는데...,"['전장연이 루브르박물관 고립된 과정', '들어가서 본격적으로 시위를 위한 셋업 뒤에 아 저거 유명한 그림인데 댓글로 알려주시면 감사 아무튼 부랴부랴 체인도 감고...                 박물관 직원과 관계자들이 오더니 뒤로 가라고 질서 통제 시작                 지나가는 사람도 가까이 못가게 통제 강도 올리기 시작                 전장연을 촬영해야하는 카메라맨도 제지당함 ㅋㅋㅋ 이거 한국이였으면 100% 어딜만지냐 하며 했겠지만 저긴 프랑스 ㅋㅋㅋ                 촬영해야하는데 발동동 굴리던 카메라맨 관계자가 찍지말라며 카메라 제지하다 드랍하니 드디어 돈터치! 결국 구역 통제 ㅋㅋㅋㅋㅋ -나름 특사단(?)을 자처하며 간 프랑스 -가서 홍보를 해야하는데 루브르박물관 통제로 아무것도 못하게된 전장연 -괜히 저기서 날뛰었다간 프랑스 법으로 레볼루숑! 당할수있으니 아무것도 반응 못하는 전장연', '누구보다 잘 돌아다니는...']"
그대로 죽어라,"['[속보]특사단(전장연), 루브르박물관서 기습 시위 특사단원 10명 박물관 내 고립', 'https:naver.mex0UzZygB 저런게 특사임? 어메이징 코리아네', 'He is chinese']"
장애인단체X ㅡㅡㅡ> 개병신집단,"['[속보]특사단(전장연), 루브르박물관서 기습 시위 특사단원 10명 박물관 내 고립', 'https:naver.mex0UzZygB 저런게 특사임? 어메이징 코리아네']"
히마리는 진짜 미쳤네 그냥..,"['리오 vs 히마리 vs 칸나', '걍 리오랑 운동 끝나고 같이 술마시러 간다음 칸나 합석해서 같이 마시고 전철 막차 놓칠거 같으면 히마리 불러서 전장연 브레이크 해서 일단타고 다같이 우리집에서 자면 되는거 아닌가...']"
