comment,context
후원,"['전장연 앞 가로막은 경찰', '박경석 전장연 대표가 13일 오전 서울역에서 추석 귀성인사를 온 한동훈 국민의힘 대표와 면담을 요구하며 포체투지를 하고 있다. 전장연은 장애인권리 입법을 촉구하기 위해 한동훈 대표와 면담을 요구했으나 만나지는 못했다. 이 사람들 파리에 있던거 아니였음??? 존나 날아왔나?? 언제 또 서울역에 침투하셨대 ㄷㄷㄷ 저런 새끼들 때문에 다른 장애인들이 피해보는거라고 난 생각함..', '이번 패럴림픽 때문에 프랑스 간거 같은데 협회에서 준건지 지들돈으로 간건진 모르겠음']"
ㄹㅇㅋㅋ,"['전장연 앞 가로막은 경찰', '박경석 전장연 대표가 13일 오전 서울역에서 추석 귀성인사를 온 한동훈 국민의힘 대표와 면담을 요구하며 포체투지를 하고 있다. 전장연은 장애인권리 입법을 촉구하기 위해 한동훈 대표와 면담을 요구했으나 만나지는 못했다. 이 사람들 파리에 있던거 아니였음??? 존나 날아왔나?? 언제 또 서울역에 침투하셨대 ㄷㄷㄷ 저런 새끼들 때문에 다른 장애인들이 피해보는거라고 난 생각함..', '시바 언제또 한국으로 왔냐 ㅋㅋㅋㅋㅋ']"
다 잡아서 북송시켜라,"['전장연 앞 가로막은 경찰', '박경석 전장연 대표가 13일 오전 서울역에서 추석 귀성인사를 온 한동훈 국민의힘 대표와 면담을 요구하며 포체투지를 하고 있다. 전장연은 장애인권리 입법을 촉구하기 위해 한동훈 대표와 면담을 요구했으나 만나지는 못했다. 이 사람들 파리에 있던거 아니였음??? 존나 날아왔나?? 언제 또 서울역에 침투하셨대 ㄷㄷㄷ 저런 새끼들 때문에 다른 장애인들이 피해보는거라고 난 생각함..', '여기저기 잘다니네 부럽다']"
(노르웨이도 감),"['결국 프랑스 경찰에 붙잡힌 전장연', '결국 프랑스 경찰에 붙잡혀서 화장실도 안보내준다고 프랑스인 앞에서 한국어로 고발한다고 당당히 영상을 촬영하는 전장연 대표 분명 이유가 있을것같은데 추측해보자면 1.페럴림픽 경기장으로 향하는걸 올림픽 봉사 단체가 발견하고 신고하여 경찰이 출동했다 2.걍 무대뽀로 다리에서 시위하다가 프랑스 집시법에 위배되어서 경찰이 대거 출동했다. 아무래도 프랑스가 시위가 많다보니.. 아무튼.....유머는 유머...이러다 진짜 이동권 보장하라면서 전세계 돌아다니며 다른나라 이동권도 훈수두겠네....', '나도 못가봤는데 존나 잘 싸돌아댕김']"
나도 프랑스 가보고 싶다.. 이동권 보장하라 ㅠ_ㅠ,"['결국 프랑스 경찰에 붙잡힌 전장연', '결국 프랑스 경찰에 붙잡혀서 화장실도 안보내준다고 프랑스인 앞에서 한국어로 고발한다고 당당히 영상을 촬영하는 전장연 대표 분명 이유가 있을것같은데 추측해보자면 1.페럴림픽 경기장으로 향하는걸 올림픽 봉사 단체가 발견하고 신고하여 경찰이 출동했다 2.걍 무대뽀로 다리에서 시위하다가 프랑스 집시법에 위배되어서 경찰이 대거 출동했다. 아무래도 프랑스가 시위가 많다보니.. 아무튼.....유머는 유머...이러다 진짜 이동권 보장하라면서 전세계 돌아다니며 다른나라 이동권도 훈수두겠네....', '그때 완전히 끝났어야 했는데, 아쉽네']"
와 나 루브르박물관 못가봤는데,"['전장연이 루브르박물관 고립된 과정', '들어가서 본격적으로 시위를 위한 셋업 뒤에 아 저거 유명한 그림인데 댓글로 알려주시면 감사 아무튼 부랴부랴 체인도 감고...                 박물관 직원과 관계자들이 오더니 뒤로 가라고 질서 통제 시작                 지나가는 사람도 가까이 못가게 통제 강도 올리기 시작                 전장연을 촬영해야하는 카메라맨도 제지당함 ㅋㅋㅋ 이거 한국이였으면 100% 어딜만지냐 하며 했겠지만 저긴 프랑스 ㅋㅋㅋ                 촬영해야하는데 발동동 굴리던 카메라맨 관계자가 찍지말라며 카메라 제지하다 드랍하니 드디어 돈터치! 결국 구역 통제 ㅋㅋㅋㅋㅋ -나름 특사단(?)을 자처하며 간 프랑스 -가서 홍보를 해야하는데 루브르박물관 통제로 아무것도 못하게된 전장연 -괜히 저기서 날뛰었다간 프랑스 법으로 레볼루숑! 당할수있으니 아무것도 반응 못하는 전장연', '낭만주의 외젠 들라크루아 ㄷ ㄷ']"
왜저러는거임??,"['전장연이 루브르박물관 고립된 과정', '들어가서 본격적으로 시위를 위한 셋업 뒤에 아 저거 유명한 그림인데 댓글로 알려주시면 감사 아무튼 부랴부랴 체인도 감고...                 박물관 직원과 관계자들이 오더니 뒤로 가라고 질서 통제 시작                 지나가는 사람도 가까이 못가게 통제 강도 올리기 시작                 전장연을 촬영해야하는 카메라맨도 제지당함 ㅋㅋㅋ 이거 한국이였으면 100% 어딜만지냐 하며 했겠지만 저긴 프랑스 ㅋㅋㅋ                 촬영해야하는데 발동동 굴리던 카메라맨 관계자가 찍지말라며 카메라 제지하다 드랍하니 드디어 돈터치! 결국 구역 통제 ㅋㅋㅋㅋㅋ -나름 특사단(?)을 자처하며 간 프랑스 -가서 홍보를 해야하는데 루브르박물관 통제로 아무것도 못하게된 전장연 -괜히 저기서 날뛰었다간 프랑스 법으로 레볼루숑! 당할수있으니 아무것도 반응 못하는 전장연', '여행 잘 다니네']"
병먹금 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"['전장연이 루브르박물관 고립된 과정', '들어가서 본격적으로 시위를 위한 셋업 뒤에 아 저거 유명한 그림인데 댓글로 알려주시면 감사 아무튼 부랴부랴 체인도 감고...                 박물관 직원과 관계자들이 오더니 뒤로 가라고 질서 통제 시작                 지나가는 사람도 가까이 못가게 통제 강도 올리기 시작                 전장연을 촬영해야하는 카메라맨도 제지당함 ㅋㅋㅋ 이거 한국이였으면 100% 어딜만지냐 하며 했겠지만 저긴 프랑스 ㅋㅋㅋ                 촬영해야하는데 발동동 굴리던 카메라맨 관계자가 찍지말라며 카메라 제지하다 드랍하니 드디어 돈터치! 결국 구역 통제 ㅋㅋㅋㅋㅋ -나름 특사단(?)을 자처하며 간 프랑스 -가서 홍보를 해야하는데 루브르박물관 통제로 아무것도 못하게된 전장연 -괜히 저기서 날뛰었다간 프랑스 법으로 레볼루숑! 당할수있으니 아무것도 반응 못하는 전장연', '프랑스 좀도둑들 출동해서 저놈들 있는거 없는거 다 털어먹었으면 좋겠네']"
해외까지가서 저런짓을,"['[속보]특사단(전장연), 루브르박물관서 기습 시위 특사단원 10명 박물관 내 고립', 'https:naver.mex0UzZygB 저런게 특사임? 어메이징 코리아네', '사위핑계로 관광가고 개꿀이네']"
다들 시간날때 이글 한번씩보셈ㅋㅋ 이동권이 목적이 아님ㅋㅋㅋㅋ https://m.fmkorea.com/best/5976474856,"['싱글벙글 전장연 근황 ㄷㄷㄷㄷㄷ', '노르웨이 지하철에서도 저러는 중 패럴림픽 일정에 맞춰 독일-프랑스 순회 예정', '이동권 좆되네 유럽 한번도 못가봤는데 시발']"
노르웨이 안가본 한국인이 99.9%일텐데,"['우리나라 노르웨이에 역대급 수출 성공시킴ㄷㄷ', '전장연 수출함 ㄷㄷ', '해외여행 개부럽네 농담아니고']"
유럽에서하면 pc최고 하면서 좋아해줌??,"['우리나라 노르웨이에 역대급 수출 성공시킴ㄷㄷ', '전장연 수출함 ㄷㄷ', '평범한 사람들보다 더 잘 돌아다니네..']"
"거칠게 할 수도 있는데 대상이 문제지 이준석이 했던 말 중에 공감 가는 게 있는데 왜 하필 지하철 타고 출퇴근하는 시민 대상으로 해야되느냐는 거임 그 지하철 탄 사람들이 장애인 이동권 향상에 반대하는 사람들인가? 지옥철 뚫고 출근 퇴근하는 사람이라면 서민이 대부분일 텐데, 장애인이 서민 괴롭히는 일이 정말 세상을 더 낫게 만들까? 결국 가장 나쁜 방법으로 시위를 한 셈이고 그에 따라서 비판을 받을 수밖에 없었음","['전장연의 시위방식이 나쁘다고만 할수있을까?', '※이 얘기에 앞서 글쓴이는 전장연의 시위방식을 옹호안하고 충분히 잘못 되었다고 생각함 다만 이 문제를 어찌했으면 좋겠는지 님들의 생각이 궁금해서 올려본다 ※ 518민주화운동...여성참정권 운동 등등 좀 과격하다싶이 했지만...결국 그렇게해서야 권력자들에게 닿았음.... 다른 시위들도 그러지 않을까? 너희들이 욕하는 전장연시위방식 이 나도 옳다는건 아니고 옹호할 생각도 없지만 ... .저 방식 말고 차분하고 얌전하게 시위해도 권력자는 커녕 대중한테도 안먹힌다면...어쩔건데? 난 솔직히 모르겠음...마냥 평화롭게 시위한다면 잊혀지지 않을까? 전장연이라는걸 제외하더라도 앞으로 자신들의 얘기들을 국가가 외면한다면 수많은 사회적 약자들의 시위가...과격해질 가능성이 높다고봐... 솔직히 그 사이에서 발생하는 다수자들의 피해도 난 이해해 그러면 여기서 더 최선은 뭐라고 생각해...? 진짜 몰라서 물어본다 얌전히 고상하게 시위만하다간 특히 한국사회는....알아주기힘들지 않을까? p.s좌파네 빨갱이네 민주당첩자같은 뻘소리 하지말고 욕보단 차분하게 얘기를 해줬으면해 참고로 장애인문제로 신경써주는 이준석에게 극 호감을 갖고있어 공격 ㄴㄴ해', '언더도그마']"
ㅋㅋ,"['결국 프랑스 경찰에 붙잡힌 전장연', '결국 프랑스 경찰에 붙잡혀서 화장실도 안보내준다고 프랑스인 앞에서 한국어로 고발한다고 당당히 영상을 촬영하는 전장연 대표 분명 이유가 있을것같은데 추측해보자면 1.페럴림픽 경기장으로 향하는걸 올림픽 봉사 단체가 발견하고 신고하여 경찰이 출동했다 2.걍 무대뽀로 다리에서 시위하다가 프랑스 집시법에 위배되어서 경찰이 대거 출동했다. 아무래도 프랑스가 시위가 많다보니.. 아무튼.....유머는 유머...이러다 진짜 이동권 보장하라면서 전세계 돌아다니며 다른나라 이동권도 훈수두겠네....', '프랑스 가서는 또 한국찾기 ㅋㅋ']"
그냥 거기 징역 들어가라,"['결국 프랑스 경찰에 붙잡힌 전장연', '결국 프랑스 경찰에 붙잡혀서 화장실도 안보내준다고 프랑스인 앞에서 한국어로 고발한다고 당당히 영상을 촬영하는 전장연 대표 분명 이유가 있을것같은데 추측해보자면 1.페럴림픽 경기장으로 향하는걸 올림픽 봉사 단체가 발견하고 신고하여 경찰이 출동했다 2.걍 무대뽀로 다리에서 시위하다가 프랑스 집시법에 위배되어서 경찰이 대거 출동했다. 아무래도 프랑스가 시위가 많다보니.. 아무튼.....유머는 유머...이러다 진짜 이동권 보장하라면서 전세계 돌아다니며 다른나라 이동권도 훈수두겠네....', '우리나라가 진짜 쟤네들 존나 봐 주는건데 좀 느껴봐라']"
좋긴한데 왜 저기까지가서 저럼 ?,"['결국 프랑스 경찰에 붙잡힌 전장연', '결국 프랑스 경찰에 붙잡혀서 화장실도 안보내준다고 프랑스인 앞에서 한국어로 고발한다고 당당히 영상을 촬영하는 전장연 대표 분명 이유가 있을것같은데 추측해보자면 1.페럴림픽 경기장으로 향하는걸 올림픽 봉사 단체가 발견하고 신고하여 경찰이 출동했다 2.걍 무대뽀로 다리에서 시위하다가 프랑스 집시법에 위배되어서 경찰이 대거 출동했다. 아무래도 프랑스가 시위가 많다보니.. 아무튼.....유머는 유머...이러다 진짜 이동권 보장하라면서 전세계 돌아다니며 다른나라 이동권도 훈수두겠네....', '오 고소 근데 저나라에서 고소를 받아줄려나?']"
